date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:30:54	1509/1509	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Aug%202016%2000:10:56%20GMT	http://premiumlayers.com/robots.txt		(from )
15:30:54	12072/12072	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Feb%202015%2012:02:22%20GMT	http://premiumlayers.com/demos/kappe/?storefront=envato-elements	C:/Users/hrist/Desktop/diffraction/premiumlayers.com/demos/kappe/index04b9.html	(from )
15:30:55	119892/119892	---MCZ	200	added ('OK')	text/css	date:Wed,%2018%20Feb%202015%2012:02:27%20GMT	http://premiumlayers.com/demos/kappe/css/bootstrap.css	C:/Users/hrist/Desktop/diffraction/premiumlayers.com/demos/kappe/css/bootstrap.css	(from http://premiumlayers.com/demos/kappe/?storefront=envato-elements)
15:30:55	7677/7677	---MCZ	200	added ('OK')	text/css	date:Wed,%2018%20Feb%202015%2012:02:28%20GMT	http://premiumlayers.com/demos/kappe/css/magnific-popup.css	C:/Users/hrist/Desktop/diffraction/premiumlayers.com/demos/kappe/css/magnific-popup.css	(from http://premiumlayers.com/demos/kappe/?storefront=envato-elements)
15:30:56	21644/21644	---MCZ	200	added ('OK')	text/css	date:Wed,%2018%20Feb%202015%2012:02:27%20GMT	http://premiumlayers.com/demos/kappe/css/font-awesome.css	C:/Users/hrist/Desktop/diffraction/premiumlayers.com/demos/kappe/css/font-awesome.css	(from http://premiumlayers.com/demos/kappe/?storefront=envato-elements)
15:30:56	4085/4085	---MCZ	200	added ('OK')	text/css	date:Wed,%2018%20Feb%202015%2012:02:25%20GMT	http://premiumlayers.com/demos/kappe/css/flexslider.css	C:/Users/hrist/Desktop/diffraction/premiumlayers.com/demos/kappe/css/flexslider.css	(from http://premiumlayers.com/demos/kappe/?storefront=envato-elements)
15:30:56	31947/31947	---MCZ	200	added ('OK')	text/css	date:Wed,%2018%20Feb%202015%2012:02:29%20GMT	http://premiumlayers.com/demos/kappe/css/style.css	C:/Users/hrist/Desktop/diffraction/premiumlayers.com/demos/kappe/css/style.css	(from http://premiumlayers.com/demos/kappe/?storefront=envato-elements)
15:30:56	2246/2246	---MCZ	200	added ('OK')	text/css	date:Wed,%2018%20Feb%202015%2012:02:28%20GMT	http://premiumlayers.com/demos/kappe/css/responsive.css	C:/Users/hrist/Desktop/diffraction/premiumlayers.com/demos/kappe/css/responsive.css	(from http://premiumlayers.com/demos/kappe/?storefront=envato-elements)
15:30:57	12072/12072	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Feb%202015%2012:02:22%20GMT	http://premiumlayers.com/demos/kappe/index.html	C:/Users/hrist/Desktop/diffraction/premiumlayers.com/demos/kappe/index.html	(from http://premiumlayers.com/demos/kappe/?storefront=envato-elements)
15:30:57	5179/5179	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Feb%202015%2012:02:31%20GMT	http://premiumlayers.com/demos/kappe/images/logo.png	C:/Users/hrist/Desktop/diffraction/premiumlayers.com/demos/kappe/images/logo.png	(from http://premiumlayers.com/demos/kappe/?storefront=envato-elements)
15:30:57	9132/9132	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Feb%202015%2012:02:20%20GMT	http://premiumlayers.com/demos/kappe/about.html	C:/Users/hrist/Desktop/diffraction/premiumlayers.com/demos/kappe/about.html	(from http://premiumlayers.com/demos/kappe/?storefront=envato-elements)
15:30:58	11543/11543	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Feb%202015%2012:02:20%20GMT	http://premiumlayers.com/demos/kappe/blog.html	C:/Users/hrist/Desktop/diffraction/premiumlayers.com/demos/kappe/blog.html	(from http://premiumlayers.com/demos/kappe/?storefront=envato-elements)
15:30:58	10129/10129	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Feb%202015%2012:02:22%20GMT	http://premiumlayers.com/demos/kappe/single-post.html	C:/Users/hrist/Desktop/diffraction/premiumlayers.com/demos/kappe/single-post.html	(from http://premiumlayers.com/demos/kappe/?storefront=envato-elements)
15:30:58	5130/5130	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Feb%202015%2012:02:20%20GMT	http://premiumlayers.com/demos/kappe/contact.html	C:/Users/hrist/Desktop/diffraction/premiumlayers.com/demos/kappe/contact.html	(from http://premiumlayers.com/demos/kappe/?storefront=envato-elements)
15:31:00	8202/8202	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Feb%202015%2012:02:23%20GMT	http://premiumlayers.com/demos/kappe/single-project.html	C:/Users/hrist/Desktop/diffraction/premiumlayers.com/demos/kappe/single-project.html	(from http://premiumlayers.com/demos/kappe/?storefront=envato-elements)
15:31:00	39735/39735	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Feb%202015%2012:02:57%20GMT	http://premiumlayers.com/demos/kappe/upload/image1.jpg	C:/Users/hrist/Desktop/diffraction/premiumlayers.com/demos/kappe/upload/image1.jpg	(from http://premiumlayers.com/demos/kappe/?storefront=envato-elements)
15:31:00	22648/22648	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Feb%202015%2012:02:59%20GMT	http://premiumlayers.com/demos/kappe/upload/image2.jpg	C:/Users/hrist/Desktop/diffraction/premiumlayers.com/demos/kappe/upload/image2.jpg	(from http://premiumlayers.com/demos/kappe/?storefront=envato-elements)
15:31:03	9030/9030	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Feb%202015%2012:02:59%20GMT	http://premiumlayers.com/demos/kappe/upload/image3.jpg	C:/Users/hrist/Desktop/diffraction/premiumlayers.com/demos/kappe/upload/image3.jpg	(from http://premiumlayers.com/demos/kappe/?storefront=envato-elements)
15:31:04	26009/26009	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Feb%202015%2012:03:01%20GMT	http://premiumlayers.com/demos/kappe/upload/image4.jpg	C:/Users/hrist/Desktop/diffraction/premiumlayers.com/demos/kappe/upload/image4.jpg	(from http://premiumlayers.com/demos/kappe/?storefront=envato-elements)
15:31:05	7226/7226	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Feb%202015%2012:03:02%20GMT	http://premiumlayers.com/demos/kappe/upload/image6.jpg	C:/Users/hrist/Desktop/diffraction/premiumlayers.com/demos/kappe/upload/image6.jpg	(from http://premiumlayers.com/demos/kappe/?storefront=envato-elements)
15:31:07	26178/26178	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Feb%202015%2012:03:01%20GMT	http://premiumlayers.com/demos/kappe/upload/image5.jpg	C:/Users/hrist/Desktop/diffraction/premiumlayers.com/demos/kappe/upload/image5.jpg	(from http://premiumlayers.com/demos/kappe/?storefront=envato-elements)
15:31:09	21129/21129	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Feb%202015%2012:03:03%20GMT	http://premiumlayers.com/demos/kappe/upload/image8.jpg	C:/Users/hrist/Desktop/diffraction/premiumlayers.com/demos/kappe/upload/image8.jpg	(from http://premiumlayers.com/demos/kappe/?storefront=envato-elements)
15:31:09	18028/18028	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Feb%202015%2012:03:04%20GMT	http://premiumlayers.com/demos/kappe/upload/image9.jpg	C:/Users/hrist/Desktop/diffraction/premiumlayers.com/demos/kappe/upload/image9.jpg	(from http://premiumlayers.com/demos/kappe/?storefront=envato-elements)
15:31:10	34390/34390	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Feb%202015%2012:03:02%20GMT	http://premiumlayers.com/demos/kappe/upload/image7.jpg	C:/Users/hrist/Desktop/diffraction/premiumlayers.com/demos/kappe/upload/image7.jpg	(from http://premiumlayers.com/demos/kappe/?storefront=envato-elements)
15:31:10	20607/20607	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Feb%202015%2012:02:57%20GMT	http://premiumlayers.com/demos/kappe/upload/image10.jpg	C:/Users/hrist/Desktop/diffraction/premiumlayers.com/demos/kappe/upload/image10.jpg	(from http://premiumlayers.com/demos/kappe/?storefront=envato-elements)
15:31:10	4250/4250	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Aug%202016%2000:10:56%20GMT	http://premiumlayers.com/demos/kappe/images/preloader.gif	C:/Users/hrist/Desktop/diffraction/premiumlayers.com/demos/kappe/images/preloader.gif	(from http://premiumlayers.com/demos/kappe/?storefront=envato-elements)
15:31:10	9186/9186	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Feb%202015%2012:02:58%20GMT	http://premiumlayers.com/demos/kappe/upload/image11.jpg	C:/Users/hrist/Desktop/diffraction/premiumlayers.com/demos/kappe/upload/image11.jpg	(from http://premiumlayers.com/demos/kappe/?storefront=envato-elements)
